Employee_ID;EmployeeCode;FirstName;LastName;FullName;Gender;Age;AgeGroup;BusinessTravel;DistanceFromHome;State;Ethnicity;MaritalStatus;Salary;StockOptionLevel;OverTime;HireDate;Attrition;YearsAtCompany;YearsInMostRecentRole;YearsSinceLastPromotion;YearsWithCurrentManager;DepartmentName;EducationLevel;EducationField;JobRole
23;040C-EDED;Lonnie;Braxton;Lonnie Braxton;Male;22;Under 25;Frequent Traveller;45;CA;White;Single;26782.00;0;Yes;2019-11-08;Yes;3;0;2;0;Technology;High School;Computer Science;Software Engineer
24;041A-31B0;Gerri;Fullerlove;Gerri Fullerlove;Female;34;25-34;Some Travel;41;NY;Black or African American;Married;50386.00;1;No;2012-05-20;No;10;8;9;10;Technology;Bachelors;Computer Science;Software Engineer
25;04D3-B8D3;Ann;Sivorn;Ann Sivorn;Female;24;Under 25;Frequent Traveller;23;NY;White;Single;158437.00;1;No;2022-10-03;No;0;0;0;0;Technology;Masters;Computer Science;Senior Software Engineer
26;04D7-C8F3;Scarlett;Elstob;Scarlett Elstob;Female;26;25-34;Some Travel;27;CA;White;Married;42052.00;1;No;2015-10-26;No;7;7;7;2;Technology;High School;Computer Science;Data Scientist
27;04E6-6B61;Rodd;Haddow;Rodd Haddow;Male;29;25-34;Some Travel;17;CA;White;Single;140158.00;0;No;2021-01-04;No;1;0;1;1;Sales;Masters;Marketing;Sales Executive
28;054A-0B94;Temp;Weyland;Temp Weyland;Male;20;Under 25;No Travel;11;IL;White;Married;26702.00;2;No;2021-11-14;No;1;1;1;0;Technology;Bachelors;Computer Science;Data Scientist
29;0592-D909;Jamill;Woolger;Jamill Woolger;Male;39;35-44;Frequent Traveller;42;NY;White;Married;495977.00;1;No;2020-04-30;No;2;2;2;0;Technology;Bachelors;Information Systems;Analytics Manager
30;05B0-755F;Sollie;Arnke;Sollie Arnke;Male;44;35-44;Some Travel;29;CA;Asian or Asian American;Married;57890.00;0;No;2013-05-24;No;9;8;8;8;Technology;Bachelors;Computer Science;Data Scientist
31;05CD-292D;Buddie;Desforges;Buddie Desforges;Male;24;Under 25;Some Travel;1;CA;White;Single;54501.00;0;No;2018-08-01;No;4;4;4;2;Technology;Bachelors;Other;Software Engineer
32;05DA-5423;Moira;Forsey;Moira Forsey;Female;26;25-34;Some Travel;16;CA;American Indian or Alaska Native;Married;34630.00;0;No;2016-07-30;No;6;2;6;0;Technology;High School;Business Studies;Software Engineer
33;05ED-92F1;Justus;MacCall;Justus MacCall;Non-Binary;27;25-34;Frequent Traveller;41;CA;Asian or Asian American;Single;28984.00;0;Yes;2016-10-10;Yes;3;1;1;0;Sales;Bachelors;Marketing;Sales Representative
34;05F0-6F7B;Ashlee;Mc Combe;Ashlee Mc Combe;Female;24;Under 25;Some Travel;5;NY;White;Single;100818.00;0;No;2017-12-24;No;5;1;3;0;Technology;No Formal Qualifications;Information Systems;Data Scientist
35;0602-02AB;Lynnet;Foord;Lynnet Foord;Female;35;35-44;Some Travel;36;CA;White;Married;487746.00;1;No;2022-01-12;No;0;0;0;0;Sales;High School;Marketing;Manager
36;0626-7020;Ketti;Carney;Ketti Carney;Female;24;Under 25;No Travel;7;CA;Black or African American;Married;126527.00;1;Yes;2017-10-01;No;5;1;5;3;Technology;High School;Information Systems;Senior Software Engineer
37;0678-748A;Maurits;Farmery;Maurits Farmery;Male;25;25-34;Some Travel;4;CA;Native Hawaiian;Divorced;57698.00;2;Yes;2015-05-11;Yes;6;5;6;2;Sales;High School;Economics;Sales Executive
38;0697-ADC3;Robert;Muffitt;Robert Muffitt;Male;38;35-44;No Travel;4;CA;White;Divorced;45942.00;1;Yes;2014-01-30;No;8;4;5;8;Technology;Bachelors;Information Systems;Software Engineer
39;06B1-2653;Montgomery;Galliford;Montgomery Galliford;Male;19;Under 25;Frequent Traveller;26;CA;Black or African American;Single;27474.00;0;No;2022-12-08;No;0;0;0;0;Technology;Bachelors;Information Systems;Software Engineer
40;06B9-B79D;Roseanne;Thrustle;Roseanne Thrustle;Female;21;Under 25;Some Travel;36;CA;White;Married;76057.00;2;No;2020-12-12;Yes;1;0;0;0;Sales;Bachelors;Marketing;Sales Executive
41;06DE-E772;Zechariah;Sturridge;Zechariah Sturridge;Male;34;25-34;Frequent Traveller;45;NY;White;Married;341971.00;0;No;2020-09-02;Yes;1;0;0;0;Sales;Bachelors;Marketing;Sales Executive
42;06E8-4FD4;Emilee;Wenham;Emilee Wenham;Female;20;Under 25;Some Travel;32;CA;Black or African American;Married;38532.00;3;Yes;2022-12-03;Yes;0;0;0;0;Sales;High School;Marketing;Sales Representative
43;0742-C802;Glennis;Miquelet;Glennis Miquelet;Female;24;Under 25;Frequent Traveller;30;NY;White;Married;66110.00;2;Yes;2019-07-24;No;3;2;2;0;Technology;Masters;Information Systems;Senior Software Engineer
44;076F-8AA3;Reese;Dibbert;Reese Dibbert;Male;39;35-44;Some Travel;5;CA;White;Single;58685.00;0;No;2012-03-08;Yes;9;6;6;2;Technology;High School;Computer Science;Data Scientist
45;078A-E0F5;Antonino;Gillcrist;Antonino Gillcrist;Male;18;Under 25;Some Travel;18;CA;White;Single;52198.00;0;No;2022-02-11;No;0;0;0;0;Sales;Masters;Marketing;Sales Executive
46;078D-B654;Cob;Cruikshank;Cob Cruikshank;Male;24;Under 25;Some Travel;1;CA;White;Single;113262.00;0;No;2022-06-30;No;0;0;0;0;Technology;Masters;Computer Science;Senior Software Engineer
47;07AF-3631;Ignazio;Bendixen;Ignazio Bendixen;Male;25;25-34;No Travel;35;NY;White;Divorced;149519.00;1;Yes;2016-02-03;No;6;2;4;3;Sales;Masters;Marketing;Sales Executive
48;07B2-D67A;Rossie;Everleigh;Rossie Everleigh;Male;44;35-44;Some Travel;40;NY;White;Divorced;285620.00;1;No;2012-01-30;No;10;6;8;4;Sales;High School;Economics;Manager
49;07C3-7429;Hendrik;Blenkharn;Hendrik Blenkharn;Male;26;25-34;Some Travel;18;CA;Asian or Asian American;Divorced;54470.00;1;No;2016-07-21;No;6;0;6;3;Technology;Bachelors;Information Systems;Machine Learning Engineer
50;07F1-62C3;Bertrand;Davidsen;Bertrand Davidsen;Male;27;25-34;Frequent Traveller;9;NY;Black or African American;Married;39001.00;0;Yes;2015-03-03;No;7;7;7;4;Technology;Masters;Computer Science;Software Engineer
51;07F5-A45D;Willdon;Spurgin;Willdon Spurgin;Male;24;Under 25;Frequent Traveller;23;CA;Asian or Asian American;Single;38448.00;0;Yes;2018-08-09;Yes;4;3;3;2;Sales;High School;Economics;Sales Representative
52;07F6-D61B;Jodee;Vala;Jodee Vala;Female;23;Under 25;Some Travel;5;NY;White;Divorced;23995.00;1;No;2018-04-27;No;4;4;4;0;Technology;Bachelors;Information Systems;Software Engineer
53;0846-2064;Hedvige;De Wolfe;Hedvige De Wolfe;Non-Binary;33;25-34;Some Travel;44;CA;White;Single;230945.00;0;No;2019-07-09;No;3;0;2;0;Technology;Bachelors;Information Systems;Analytics Manager
54;085C-7FC2;Emmerich;Wallicker;Emmerich Wallicker;Male;47;45-54;No Travel;17;NY;White;Married;176158.00;0;No;2012-04-13;No;10;9;10;2;Sales;Masters;Other;Sales Executive
55;0868-097F;Modesty;Kingescot;Modesty Kingescot;Non-Binary;33;25-34;Some Travel;26;CA;White;Single;267009.00;0;No;2013-09-23;No;9;0;1;7;Technology;Bachelors;Information Systems;Engineering Manager
56;08AC-30AB;Wolf;Sainsbury;Wolf Sainsbury;Male;51;45-54;Some Travel;30;NY;White;Divorced;232658.00;1;No;2021-01-17;No;1;1;1;1;Technology;Bachelors;Computer Science;Analytics Manager
57;08E4-D3D5;Olvan;Coatham;Olvan Coatham;Male;21;Under 25;Some Travel;25;NY;White;Single;34634.00;0;No;2019-12-11;Yes;1;1;1;1;Technology;Masters;Computer Science;Data Scientist
58;08FC-817E;Milka;Vinas;Milka Vinas;Female;26;25-34;Some Travel;43;NY;Black or African American;Married;30217.00;1;No;2015-09-04;No;7;2;4;0;Technology;Masters;Computer Science;Software Engineer
59;097B-A688;Hillard;Hulson;Hillard Hulson;Male;23;Under 25;Some Travel;33;NY;Native Hawaiian;Married;26198.00;1;Yes;2017-04-04;No;5;4;4;0;Technology;High School;Information Systems;Data Scientist
60;09D2-46BD;Karyl;Ponten;Karyl Ponten;Female;26;25-34;Some Travel;42;CA;White;Married;92364.00;1;Yes;2016-07-12;No;6;4;5;6;Sales;Bachelors;Marketing;Sales Executive
61;0A05-3943;Sherie;Pattington;Sherie Pattington;Female;26;25-34;Some Travel;20;CA;White;Single;33273.00;0;Yes;2015-01-20;Yes;2;1;1;0;Technology;Bachelors;Business Studies;Software Engineer
62;0A4E-1A4A;Aloysius;Holdren;Aloysius Holdren;Male;22;Under 25;No Travel;14;CA;Mixed or multiple ethnic groups;Single;53014.00;0;Yes;2019-02-04;No;3;3;3;0;Sales;Bachelors;Technical Degree;Sales Executive
63;0AA2-881A;Jeffrey;Mildmott;Jeffrey Mildmott;Male;25;25-34;Some Travel;28;NY;Other;Married;29126.00;2;No;2016-07-18;No;6;0;2;3;Technology;Masters;Information Systems;Software Engineer
64;0AE7-DDE2;Martyn;Rathke;Martyn Rathke;Male;23;Under 25;Some Travel;8;CA;White;Married;46850.00;1;No;2018-10-20;No;4;3;4;2;Technology;High School;Information Systems;Machine Learning Engineer
65;0AF4-EC15;Gwenore;Bernucci;Gwenore Bernucci;Female;24;Under 25;Some Travel;33;CA;Native Hawaiian;Single;91915.00;0;No;2018-07-23;No;4;0;4;4;Sales;Bachelors;Marketing;Sales Executive
66;0B19-EFB2;Ada;Bynold;Ada Bynold;Female;39;35-44;Frequent Traveller;25;CA;White;Single;300594.00;0;Yes;2018-04-24;No;4;1;4;2;Technology;Masters;Computer Science;Engineering Manager
67;0B49-32CD;Nettle;Manwaring;Nettle Manwaring;Female;20;Under 25;Some Travel;30;CA;White;Divorced;41179.00;1;No;2020-11-04;No;2;0;0;0;Technology;High School;Information Systems;Data Scientist
68;0B72-0EE6;Noll;Antoniottii;Noll Antoniottii;Male;24;Under 25;Some Travel;1;NY;White;Married;70849.00;2;No;2016-09-03;No;6;0;1;6;Technology;Masters;Computer Science;Senior Software Engineer
69;0B9A-B6DE;Mikol;Ortner;Mikol Ortner;Male;19;Under 25;Some Travel;4;CA;White;Single;60077.00;1;No;2021-07-11;No;1;1;1;0;Technology;Bachelors;Computer Science;Machine Learning Engineer
70;0BAF-7454;Ninnette;Braganza;Ninnette Braganza;Non-Binary;26;25-34;Some Travel;12;NY;White;Single;37530.00;0;No;2017-07-30;No;5;5;5;5;Technology;Masters;Computer Science;Software Engineer
71;0BEE-FC20;Sherill;Covotti;Sherill Covotti;Female;49;45-54;Some Travel;43;IL;White;Single;413946.00;0;No;2021-10-19;No;1;1;1;1;Sales;Masters;Marketing;Manager
72;0C23-26DD;Bathsheba;Ablewhite;Bathsheba Ablewhite;Female;35;35-44;Some Travel;23;NY;White;Married;81389.00;1;No;2013-03-11;No;9;3;7;5;Sales;Bachelors;Economics;Sales Representative
73;0C37-B7CF;Maximilien;Bodimeade;Maximilien Bodimeade;Male;22;Under 25;Some Travel;18;NY;White;Married;68743.00;0;No;2019-03-23;No;3;0;3;1;Technology;Masters;Information Systems;Senior Software Engineer
74;0C54-705D;Grata;Yannoni;Grata Yannoni;Female;50;45-54;Some Travel;37;NY;White;Married;291477.00;0;No;2021-12-10;No;1;0;0;1;Sales;High School;Marketing;Manager
75;0C5B-2EF4;Amery;Theunissen;Amery Theunissen;Male;20;Under 25;Some Travel;35;CA;White;Single;28506.00;0;No;2021-12-26;No;1;0;1;1;Technology;Bachelors;Information Systems;Software Engineer
76;0C6D-2825;Tann;Lettley;Tann Lettley;Male;21;Under 25;Some Travel;30;CA;White;Divorced;37164.00;1;Yes;2019-03-06;No;3;3;3;3;Technology;Bachelors;Computer Science;Software Engineer
77;0C7B-2EA6;Oswell;McCloid;Oswell McCloid;Male;34;25-34;Frequent Traveller;25;NY;Asian or Asian American;Married;39015.00;1;No;2013-09-15;No;9;5;6;4;Technology;High School;Other;Data Scientist
78;0CED-EE28;Ruthy;Pena;Ruthy Pena;Female;48;45-54;Some Travel;25;CA;White;Married;47464.00;0;No;2012-03-06;No;10;4;8;10;Technology;No Formal Qualifications;Computer Science;Data Scientist
79;0CF8-1EBD;Franciska;Cubbin;Franciska Cubbin;Female;28;25-34;Frequent Traveller;38;CA;Mixed or multiple ethnic groups;Married;87704.00;2;No;2015-03-28;No;7;1;3;6;Technology;Masters;Computer Science;Data Scientist
80;0CFA-28A3;Duff;Rioch;Duff Rioch;Male;21;Under 25;Frequent Traveller;42;CA;Black or African American;Married;42303.00;1;Yes;2019-08-13;No;3;2;2;2;Human Resources;Masters;Other;HR Executive
81;0D1B-DEC2;Celestine;Kyngdon;Celestine Kyngdon;Non-Binary;24;Under 25;Some Travel;23;CA;American Indian or Alaska Native;Single;100586.00;0;No;2017-04-23;Yes;4;4;4;4;Technology;Bachelors;Computer Science;Data Scientist
82;0D60-C312;Erica;Delany;Erica Delany;Female;32;25-34;Some Travel;16;IL;White;Married;228427.00;1;Yes;2021-06-06;No;1;1;1;1;Technology;Bachelors;Computer Science;Machine Learning Engineer
83;0D8F-C0F3;Cathrine;Lankford;Cathrine Lankford;Female;29;25-34;Some Travel;44;CA;Asian or Asian American;Divorced;67578.00;1;No;2013-06-10;Yes;1;0;0;0;Technology;Bachelors;Business Studies;Data Scientist
84;0D92-C1D0;Shandeigh;McCaster;Shandeigh McCaster;Female;26;25-34;Some Travel;43;IL;White;Single;125232.00;1;No;2022-07-07;No;0;0;0;0;Technology;Bachelors;Other;Machine Learning Engineer
85;0DBC-596E;Dita;Perch;Dita Perch;Non-Binary;44;35-44;Some Travel;14;CA;Black or African American;Single;92634.00;0;Yes;2013-04-06;No;9;8;9;9;Technology;High School;Computer Science;Data Scientist
86;0DC1-7EE4;Juliette;Nissle;Juliette Nissle;Female;25;25-34;No Travel;28;CA;White;Single;68762.00;0;Yes;2017-09-23;No;5;3;5;4;Technology;Masters;Other;Senior Software Engineer
87;0E79-8257;Noby;Lifton;Noby Lifton;Male;25;25-34;Frequent Traveller;35;NY;White;Single;28139.00;0;No;2016-05-23;No;6;1;1;5;Technology;High School;Information Systems;Data Scientist
88;0E85-1FC5;Pet;Dow;Pet Dow;Female;31;25-34;Some Travel;21;CA;White;Divorced;127182.00;1;No;2020-03-08;No;2;0;0;1;Technology;Bachelors;Computer Science;Senior Software Engineer
89;0EA5-3A95;Brooks;Lackeye;Brooks Lackeye;Female;25;25-34;Some Travel;22;NY;Mixed or multiple ethnic groups;Married;53271.00;1;No;2017-11-19;No;5;5;5;1;Technology;Bachelors;Business Studies;Software Engineer
90;0F2B-3457;Steven;Bucktrout;Steven Bucktrout;Male;19;Under 25;Frequent Traveller;14;NY;White;Single;74458.00;1;Yes;2021-01-10;No;1;0;0;1;Sales;High School;Marketing;Sales Executive
91;0F53-9877;Verina;Bottrell;Verina Bottrell;Female;24;Under 25;Some Travel;5;CA;White;Single;100576.00;0;No;2019-12-16;No;3;0;0;0;Technology;Masters;Computer Science;Data Scientist
92;0F83-39C1;Samantha;Beames;Samantha Beames;Female;30;25-34;Some Travel;33;CA;Black or African American;Single;55485.00;0;No;2013-12-25;No;9;8;9;2;Technology;High School;Information Systems;Software Engineer
93;0FBB-4ABE;Heywood;Westnage;Heywood Westnage;Male;24;Under 25;Some Travel;16;CA;American Indian or Alaska Native;Married;82174.00;2;No;2019-01-11;No;3;2;2;3;Technology;Masters;Computer Science;Senior Software Engineer
94;0FC3-2572;Bertie;Tarling;Bertie Tarling;Female;24;Under 25;No Travel;30;CA;White;Divorced;28898.00;2;No;2019-11-15;No;3;0;1;0;Sales;Masters;Marketing;Sales Representative
95;0FC8-561B;Caryl;Loving;Caryl Loving;Male;29;25-34;Frequent Traveller;14;IL;Asian or Asian American;Married;93591.00;1;No;2012-02-22;No;10;4;10;3;Technology;Bachelors;Computer Science;Senior Software Engineer
96;0FE8-B881;Rockie;Iseton;Rockie Iseton;Male;25;25-34;Some Travel;12;IL;Asian or Asian American;Divorced;118048.00;2;No;2018-09-14;No;4;4;4;3;Sales;Bachelors;Marketing;Sales Executive
97;0FEB-B474;Morten;Ridgley;Morten Ridgley;Male;44;35-44;Some Travel;35;NY;White;Divorced;223619.00;1;No;2020-04-24;No;2;0;2;1;Sales;Bachelors;Marketing;Sales Executive
98;1053-41B1;Andy;Lingwood;Andy Lingwood;Female;19;Under 25;Some Travel;24;CA;White;Single;31014.00;1;No;2021-06-16;No;1;1;1;0;Technology;High School;Computer Science;Data Scientist
99;1054-9C3B;Elizabeth;Babbe;Elizabeth Babbe;Female;30;25-34;Some Travel;1;IL;Asian or Asian American;Married;40285.00;0;Yes;2013-03-21;Yes;1;1;1;0;Technology;Masters;Other;Data Scientist
100;106F-F7C7;Amelia;Izard;Amelia Izard;Female;25;25-34;Some Travel;13;NY;Black or African American;Married;168483.00;0;Yes;2018-01-20;No;4;2;3;1;Technology;No Formal Qualifications;Information Systems;Analytics Manager
101;10C9-925C;Mechelle;Kyte;Mechelle Kyte;Female;22;Under 25;Some Travel;40;IL;White;Married;66266.00;1;No;2021-01-31;No;1;0;1;1;Technology;Masters;Computer Science;Senior Software Engineer
102;10CE-8403;Timmy;Reek;Timmy Reek;Female;27;25-34;Some Travel;31;CA;White;Divorced;120225.00;2;No;2015-11-08;No;7;2;5;4;Technology;Masters;Computer Science;Senior Software Engineer
103;10E9-4C86;Ignacius;Dockrill;Ignacius Dockrill;Non-Binary;34;25-34;Frequent Traveller;12;CA;White;Married;44057.00;1;Yes;2014-05-17;No;8;7;7;1;Technology;High School;Computer Science;Data Scientist
104;111D-E5EF;Edna;Alison;Edna Alison;Non-Binary;37;35-44;Some Travel;3;IL;White;Divorced;48395.00;1;No;2012-01-15;No;10;2;2;4;Technology;Bachelors;Computer Science;Software Engineer
105;1147-7E2F;Timotheus;Antowski;Timotheus Antowski;Male;22;Under 25;Some Travel;23;CA;Mixed or multiple ethnic groups;Single;37021.00;0;No;2018-07-15;Yes;3;0;1;2;Technology;Bachelors;Computer Science;Data Scientist
106;1158-9E23;Delly;Costerd;Delly Costerd;Female;41;35-44;Some Travel;22;CA;White;Single;235812.00;0;No;2019-05-27;No;3;1;2;2;Technology;Bachelors;Computer Science;Machine Learning Engineer
107;116F-33F1;Iain;MacNeilly;Iain MacNeilly;Male;19;Under 25;Frequent Traveller;43;NY;White;Single;65010.00;0;No;2022-08-15;No;0;0;0;0;Sales;No Formal Qualifications;Marketing;Sales Executive
108;1180-BEC9;Edgardo;McGeouch;Edgardo McGeouch;Male;43;35-44;Some Travel;17;CA;White;Married;50946.00;0;Yes;2014-03-15;Yes;8;6;7;3;Technology;Bachelors;Computer Science;Software Engineer
109;11AE-3E4D;Sheffie;Tonkin;Sheffie Tonkin;Male;39;35-44;Some Travel;38;CA;Mixed or multiple ethnic groups;Married;300299.00;1;Yes;2012-02-19;No;10;7;7;10;Sales;High School;Technical Degree;Manager
110;11C2-2B5B;Aurlie;Demeza;Aurlie Demeza;Female;26;25-34;Frequent Traveller;14;NY;Mixed or multiple ethnic groups;Divorced;92778.00;1;No;2016-11-09;No;6;6;6;1;Technology;Bachelors;Computer Science;Machine Learning Engineer
111;11F9-3526;Carolan;Pigny;Carolan Pigny;Female;30;25-34;Some Travel;12;IL;White;Married;264407.00;1;No;2021-11-14;No;1;1;1;0;Technology;High School;Computer Science;Senior Software Engineer
112;1217-CE30;Marchelle;Duffield;Marchelle Duffield;Female;45;45-54;Some Travel;34;CA;American Indian or Alaska Native;Divorced;173037.00;3;No;2013-03-26;No;9;4;9;3;Sales;Bachelors;Marketing;Sales Executive
113;1243-8B63;Jourdain;Kither;Jourdain Kither;Male;26;25-34;Some Travel;17;NY;Black or African American;Married;110761.00;1;No;2017-12-18;No;5;0;5;3;Technology;Masters;Business Studies;Senior Software Engineer
114;1268-3038;Christen;Hawtry;Christen Hawtry;Female;21;Under 25;Some Travel;22;CA;White;Single;32456.00;0;No;2022-08-24;No;0;0;0;0;Technology;Bachelors;Information Systems;Data Scientist
115;12A7-AFD6;Garrek;Riditch;Garrek Riditch;Non-Binary;24;Under 25;Some Travel;22;CA;Mixed or multiple ethnic groups;Married;53530.00;0;Yes;2018-09-19;No;4;3;3;1;Sales;Bachelors;Marketing;Sales Executive
116;12B5-11CC;Vitoria;MacVaugh;Vitoria MacVaugh;Female;30;25-34;Some Travel;8;IL;White;Married;70771.00;1;No;2012-03-08;No;10;9;9;2;Technology;Bachelors;Information Systems;Software Engineer
117;12E5-9BD1;Kessiah;Tallet;Kessiah Tallet;Female;36;35-44;Some Travel;10;CA;White;Divorced;297181.00;1;No;2020-12-24;No;2;2;2;2;Technology;Masters;Information Systems;Senior Software Engineer
118;12F7-BCBB;Clea;MacCartan;Clea MacCartan;Female;48;45-54;Frequent Traveller;2;CA;White;Single;37124.00;0;No;2013-12-06;Yes;9;8;8;7;Sales;No Formal Qualifications;Technical Degree;Sales Representative
119;130F-32AB;Lucretia;Leebeter;Lucretia Leebeter;Female;20;Under 25;Some Travel;6;CA;White;Single;30714.00;0;Yes;2020-06-05;Yes;2;0;1;1;Technology;No Formal Qualifications;Computer Science;Software Engineer
120;132B-F2B2;Erica;Dracksford;Erica Dracksford;Female;35;35-44;Some Travel;36;CA;White;Married;59086.00;1;Yes;2012-03-04;No;10;2;8;4;Technology;Masters;Computer Science;Software Engineer
121;134B-4157;Stearne;Axelbee;Stearne Axelbee;Male;37;35-44;Some Travel;29;IL;White;Married;513608.00;0;No;2013-09-03;No;9;4;7;3;Technology;Bachelors;Computer Science;Analytics Manager
122;1359-BEE3;Fawn;Pyke;Fawn Pyke;Female;41;35-44;No Travel;22;CA;Native Hawaiian;Married;52581.00;0;No;2013-12-09;No;9;8;8;7;Technology;Bachelors;Computer Science;Data Scientist
123;135D-DF79;Lew;Muzzall;Lew Muzzall;Male;18;Under 25;Frequent Traveller;41;CA;White;Single;72639.00;2;No;2022-02-07;No;0;0;0;0;Sales;Masters;Marketing;Sales Executive
124;1363-6BF9;Mikel;Worrall;Mikel Worrall;Male;36;35-44;Some Travel;10;CA;Other;Single;189405.00;0;No;2013-05-23;No;9;4;6;7;Technology;Bachelors;Business Studies;Senior Software Engineer
125;1368-8327;Nataniel;Garrattley;Nataniel Garrattley;Non-Binary;22;Under 25;Some Travel;16;NY;White;Married;78467.00;2;Yes;2021-01-25;No;1;0;1;0;Technology;No Formal Qualifications;Computer Science;Data Scientist
126;138C-2AEA;Susannah;Gorioli;Susannah Gorioli;Female;22;Under 25;No Travel;16;IL;White;Divorced;27053.00;3;No;2020-04-10;No;2;0;2;2;Sales;No Formal Qualifications;Marketing;Sales Representative
